price_total,quantity,date_created.year,date_created.month,date_created.day,customer.name,country.region,country.country,product.category,product.name
"155,8",311,2011,1,1,Mooby Corp,South America,Ecuador,Sports,Rafting Boat
"52,5",209,2011,1,1,"Acme, inc.",Europe,Spain,Sports,Snowboard boots
48,196,2011,1,2,Tessier-Ashpool,Europe,Slovakia (Slovak Republic),Sports,Tent for extreme weather
20,79,2011,1,2,Twój sport,Europe,Poland,Videos,Windsurfing na świecie
58,399,2011,1,2,LuthorCorp,Europe,Malta,Sports,Trial Bike
125,26,2011,1,3,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
99,88,2011,1,3,General Products,Europe,Hungary,Sports,Snowboard boots
20,203,2011,1,4,Klimpys,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
"140,1",40,2011,1,4,Acme Corp,Europe,Netherlands,Videos,"Climb higher, faster, better (2010)"
14,235,2011,1,5,Virtucon,South America,Brazil,Sports,Termic Jacket 
125,7,2011,1,6,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
217,43,2011,1,6,"Acme, inc.",Europe,Spain,Sports,Mountain Bike
140,75,2011,1,6,Omni Consimer Products,Europe,Poland,Sports,Bicycle brakes
235,270,2011,1,7,"Acme, inc.",Europe,Lithuania,Sports,Mountain Bike
49,90,2011,1,8,Strickland Propane,South America,Brazil,Sports,Snowboard table
"45,37",65,2011,1,9,Sombra Corporation,Europe,France,Sports,Trial Bike
"50,5325",34,2011,1,10,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
"49,95",229,2011,1,11,United Fried Chicken,South America,Brazil,Books,Bicycle Wheel
,262,2011,1,12,,,,,
99,184,2011,1,12,LuthorCorp,Europe,Croatia,Sports,Trial Bike
"26,95",448,2011,1,13,Bluth Company,South America,Brazil,Videos,Communicate your skills (2009)
58,447,2011,1,13,LuthorCorp,Europe,Malta,Sports,Trial Bike
70,395,2011,1,13,Colonial Movers,Europe,Spain,Sports,Snowboard boots
243,352,2011,1,14,Keedsler Motors,Europe,Italy,Sports,Mountain Bike
20,187,2011,1,14,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
